CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200000,1,41.0,1,3,6.0,2,1,3,3.0,1,3.0,2,1.0,1,2,1,0.0,2,20993.0
200001,0,49.0,0,1,14.0,2,2,3,4.0,1,4.0,0,2.0,0,3,1,2.0,2,20130.0
200002,1,37.0,1,1,8.0,0,2,3,4.0,0,3.0,2,7.0,1,3,0,0.0,1,17090.0
200003,0,33.0,0,1,9.0,2,1,2,3.0,0,3.0,0,2.0,1,5,1,1.0,1,17909.0
200005,0,32.0,0,1,8.0,2,2,3,3.0,0,3.0,2,1.0,0,5,1,1.0,1,18068.0
200006,0,59.0,1,1,9.0,3,1,2,2.0,0,5.0,0,5.0,1,2,1,1.0,1,17670.0
200007,0,30.0,1,1,30.0,2,2,3,3.0,0,3.0,1,2.0,0,2,0,1.0,1,17693.0
200008,0,38.0,0,1,29.0,2,2,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0
200009,0,36.0,1,1,33.0,3,2,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0
200010,0,35.0,1,1,22.0,3,2,2,2.0,0,4.0,0,1.0,0,3,1,1.0,1,17426.0
200012,0,31.0,1,1,32.0,2,2,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,17911.0
200013,0,34.0,1,1,25.0,3,2,3,3.0,0,3.0,1,1.0,0,3,0,2.0,1,17661.0
200014,1,28.0,1,1,30.0,2,2,2,4.0,0,3.0,2,6.0,1,2,0,0.0,1,17028.0
200015,0,29.0,1,1,27.0,2,1,2,2.0,3,5.0,1,2.0,0,5,1,1.0,3,24980.0
200016,0,32.0,1,1,11.0,2,2,3,2.0,0,4.0,1,1.0,1,2,1,0.0,1,18298.0
200017,0,22.0,0,1,22.0,3,2,3,2.0,0,3.0,1,2.0,1,3,0,0.0,1,17935.0
200018,0,53.0,1,3,8.0,2,1,3,4.0,4,3.0,0,3.0,0,3,1,0.0,0,30427.0
200022,0,34.0,1,1,13.0,2,0,2,3.0,3,4.0,3,1.0,0,3,1,0.0,3,26994.0
200023,0,21.0,1,1,21.0,2,2,3,3.0,0,3.0,2,2.0,0,3,1,1.0,1,16232.0
200024,1,34.0,1,1,12.0,3,2,2,3.0,0,5.0,2,3.0,0,2,1,1.0,1,17960.0
200025,0,53.0,1,1,11.0,2,1,2,3.0,2,3.0,1,5.0,0,5,0,1.0,4,34094.0
200027,0,42.0,1,3,14.0,3,2,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0
200028,0,44.0,1,1,13.0,3,1,2,4.0,3,3.0,0,4.0,0,4,1,0.0,3,25248.0
200029,0,46.0,1,3,8.0,3,1,2,3.0,2,5.0,2,4.0,0,2,0,1.0,4,33947.0
200030,0,33.0,1,1,8.0,3,2,3,3.0,0,3.0,2,5.0,0,3,1,2.0,1,17496.0
200031,0,44.0,1,1,16.0,2,2,2,3.0,1,3.0,0,3.0,1,3,1,1.0,2,21465.0
200032,0,30.0,1,1,15.0,3,2,2,4.0,0,3.0,2,2.0,0,4,1,1.0,1,17206.0
200033,1,39.0,1,3,11.0,1,2,2,3.0,1,3.0,0,4.0,0,2,0,1.0,2,17086.0
200034,1,24.0,1,1,6.0,3,2,3,3.0,0,3.0,0,3.0,1,3,1,2.0,1,17293.0
200035,0,43.0,1,1,8.0,3,1,3,2.0,0,3.0,1,2.0,0,2,0,1.0,1,17645.0
200036,1,50.0,1,3,9.0,3,2,2,4.0,0,3.0,0,2.0,1,4,0,0.0,1,17683.0
200037,0,35.0,1,3,8.0,3,1,3,3.0,0,3.0,0,2.0,0,2,1,0.0,1,17014.0
200039,0,33.0,0,3,6.0,2,1,2,2.0,1,5.0,0,3.0,0,3,1,0.0,2,20376.0
200040,0,35.0,1,1,10.0,2,2,3,3.0,0,3.0,1,2.0,0,4,0,0.0,1,16951.0
200041,0,27.0,1,1,8.0,2,1,2,3.0,0,5.0,1,2.0,0,3,0,1.0,1,17341.0
200042,1,26.0,1,1,31.0,2,2,2,5.0,0,3.0,2,2.0,0,2,1,1.0,1,17293.0
200043,0,27.0,0,3,14.0,2,2,2,3.0,3,3.0,3,2.0,0,2,1,0.0,3,23726.0
200045,1,41.0,1,1,18.0,1,1,2,3.0,2,3.0,0,2.0,0,4,1,0.0,4,34545.0
200047,0,37.0,1,1,25.0,2,2,3,3.0,0,4.0,0,5.0,0,4,1,1.0,1,18022.0
200048,0,46.0,0,3,11.0,3,2,3,3.0,1,3.0,2,5.0,1,5,1,1.0,2,20772.0
200049,0,35.0,1,1,14.0,2,2,2,2.0,0,3.0,0,2.0,0,5,1,1.0,1,17269.0
200050,1,48.0,1,1,6.0,2,2,3,4.0,3,3.0,2,1.0,1,5,0,2.0,3,20381.0
200052,0,44.0,1,3,6.0,3,1,3,3.0,1,5.0,1,6.0,1,2,0,0.0,2,20454.0
200053,0,35.0,0,1,17.0,3,2,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0
200055,0,33.0,0,1,6.0,2,0,3,3.0,3,3.0,3,2.0,1,2,1,0.0,3,28458.0
200056,0,35.0,0,3,24.0,2,2,3,3.0,3,5.0,0,2.0,0,4,1,0.0,3,24069.0
200058,0,31.0,1,1,13.0,2,2,2,3.0,1,3.0,1,4.0,0,3,1,0.0,2,20915.0
200059,0,37.0,1,1,6.0,2,2,2,4.0,1,3.0,1,2.0,0,5,1,1.0,2,20993.0
200060,0,32.0,1,1,6.0,3,2,2,3.0,1,3.0,0,2.0,1,4,1,0.0,2,21162.0
200061,0,38.0,0,1,35.0,2,1,2,3.0,1,3.0,2,2.0,0,3,1,0.0,2,17406.0
200062,0,50.0,1,1,13.0,3,1,2,4.0,2,3.0,1,6.0,1,4,1,1.0,4,33740.0
200063,0,59.0,1,3,31.0,2,1,2,3.0,3,5.0,3,1.0,0,3,1,0.0,3,22637.0
200064,0,36.0,1,1,14.0,1,1,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0
